id,persona_class,tag,group_name,userid,name,preferred_lang,default_lang,dob,gender,residence_status,address_line1,address_line2,address_line3,region,province,city,zone,postal_code,email,mobile,reference_identity_number,registration_center_id,version_number
1,MorocconMaleAdult,,JIN,ambrin@technoforte.co.in,Ambrin Taj,eng,eng,1990/01/01,Male,Non-Foreigner,Lot1 Zone,Hareness Road,Casablanca,Rabat Sale Kenitra,Kenitra,Kenitra,Sidi Allal Tazi,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
2,MorocconFemaleAdult,,,ambrin@technoforte.co.in,Ambrin Taj,ARA,EN,1990/01/01,FLE,CITIZEN,Lot1 Zone,Hareness Road,Casablanca,RSK,KTA,KNT,SATZ,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
3,NonMorocconMaleAdult,,,ambrin@technoforte.co.in,Tom Miller,ENG,EN,1990/01/01,MLE,FOREIGNER,Hay Nahda,Essaouira ,Marrakech,RSK,KTA,KNT,SATZ,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
4,NonMorocconFemaleAdult,,,ambrin@technoforte.co.in,Misla Miller,ENG,EN,1990/01/01,FLE,FOREIGNER,Commercial Street,MGRoad,Bangalore,RSK,KTA,KNT,SATZ,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
5,HOF,,FAMILY1,ambrin@technoforte.co.in,Nasir Ali,ARA,EN,1990/01/01,MLE,CITIZEN,Lot10 Zone,Fez-Medina,Rabat,RSK,KTA,KNT,SATZ,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
6,,,FAMILY1,ambrin@technoforte.co.in,Hafsa Taj,ARA,EN,1990/01/01,FLE,CITIZEN,Lot10 Zone,Fez-Medina,Rabat,RSK,KTA,KNT,SATZ,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
7,HOF,,FAMILY2,ambrin@technoforte.co.in,Abdul Latifa,eng,eng,1990/01/01,Male,CITIZEN,Hassan Avenue,Fez-Medina,Agadir,Rabat Sale Kenitra,Kenitra,Kenitra,Sidi Allal Tazi,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
8,,,FAMILY2,ambrin@technoforte.co.in,Zasmine Latifa,eng,eng,1990/01/01,Male,CITIZEN,Hassan Avenue,Fez-Medina,Agadir,Rabat Sale Kenitra,Kenitra,Kenitra,Sidi Allal Tazi,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
9,,,FAMILY2,ambrin@technoforte.co.in,Yasmine Latifa,eng,eng,1990/01/01,Male,CITIZEN,Hassan Avenue,Fez-Medina,Agadir,Rabat Sale Kenitra,Kenitra,Kenitra,Sidi Allal Tazi,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
10,BadPersona,,BAD,ambrin@technoforte.co.in,Yasmine Latifa,FRA,EN,1990/01/01,Male,CITIZEN,Hassan Avenue,Fez-Medina,Agadir,RSK,KTA,KNT,SATZ,14050,mbrin@technoforte.co.in,8277417831,9989545608023,33333,
